task_id -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
322 -- 1 -- 289 -- 0 -- 670 -- 24.965 -- 0 -- 2
323 -- 1 -- 287 -- 0 -- 714 -- 10.484 -- 0 -- 2
324 -- 1 -- 270 -- 0 -- 670 -- 18.42 -- 0 -- 2
325 -- 1 -- 243 -- 0 -- 670 -- 27.935 -- 0 -- 2
326 -- 1 -- 288 -- 0 -- 714 -- 7.709 -- 0 -- 2
327 -- 1 -- 246 -- 0 -- 670 -- 24.835 -- 0 -- 2
328 -- 1 -- 285 -- 0 -- 714 -- 7.858 -- 0 -- 2
329 -- 1 -- 260 -- 0 -- 670 -- 16.335 -- 0 -- 2
330 -- 1 -- 288 -- 0 -- 715 -- 7.654 -- 0 -- 2
331 -- 1 -- 241 -- 0 -- 670 -- 15.222 -- 0 -- 2
332 -- 1 -- 287 -- 0 -- 714 -- 7.462 -- 0 -- 2
333 -- 1 -- 242 -- 0 -- 670 -- 20.024 -- 0 -- 2
334 -- 1 -- 286 -- 0 -- 714 -- 7.644 -- 0 -- 2
335 -- 1 -- 280 -- 0 -- 670 -- 25.844 -- 0 -- 2
336 -- 1 -- 245 -- 0 -- 670 -- 17.398 -- 0 -- 2
337 -- 1 -- 291 -- 0 -- 670 -- 26.792 -- 0 -- 2
338 -- 1 -- 286 -- 0 -- 715 -- 7.299 -- 0 -- 2
339 -- 1 -- 258 -- 0 -- 670 -- 22.319 -- 0 -- 2
340 -- 1 -- 288 -- 0 -- 715 -- 9.245 -- 0 -- 2
341 -- 1 -- 288 -- 0 -- 670 -- 16.403 -- 0 -- 2
342 -- 1 -- 287 -- 0 -- 714 -- 8.689 -- 0 -- 2
343 -- 1 -- 279 -- 0 -- 670 -- 22.722 -- 0 -- 2
344 -- 1 -- 288 -- 0 -- 714 -- 8.607 -- 0 -- 2
345 -- 1 -- 237 -- 0 -- 670 -- 20.085 -- 0 -- 2
346 -- 1 -- 287 -- 0 -- 715 -- 8.589 -- 0 -- 2
347 -- 1 -- 277 -- 0 -- 670 -- 15.242 -- 0 -- 2
348 -- 1 -- 272 -- 0 -- 670 -- 18.021 -- 0 -- 2
349 -- 1 -- 284 -- 0 -- 715 -- 9.276 -- 0 -- 2
350 -- 1 -- 256 -- 0 -- 670 -- 29.276 -- 0 -- 2
351 -- 1 -- 287 -- 0 -- 715 -- 9.246 -- 0 -- 2
352 -- 1 -- 252 -- 0 -- 670 -- 20.667 -- 0 -- 2
353 -- 1 -- 286 -- 0 -- 714 -- 10.378 -- 0 -- 2
